
============================================================
Step 0: Entering Phase 1: Easy (0.0-1.0)
Training pool: 1293581 puzzles
============================================================

Step 35300 | Loss: 0.4783 Acc: 93.61%
Step 35400 | Loss: 0.5010 Acc: 93.00%
Step 35500 | Loss: 0.5776 Acc: 89.33%
Step 35600 | Loss: 0.4852 Acc: 92.71%
Step 35700 | Loss: 0.5421 Acc: 90.53%
Step 35800 | Loss: 0.5256 Acc: 91.10%
Step 35900 | Loss: 0.4918 Acc: 92.86%
Step 36000 | Loss: 0.5022 Acc: 91.22%
Step 36100 | Loss: 0.5056 Acc: 92.57%
Step 36200 | Loss: 0.4971 Acc: 92.50%
Step 36300 | Loss: 0.4889 Acc: 94.00%
Step 36400 | Loss: 0.5318 Acc: 91.42%
Step 36500 | Loss: 0.5000 Acc: 91.20%
Step 36600 | Loss: 0.4530 Acc: 93.55%
Step 36700 | Loss: 0.4872 Acc: 93.06%
Step 36800 | Loss: 0.4922 Acc: 92.26%
Step 36900 | Loss: 0.4695 Acc: 93.84%
Step 37000 | Loss: 0.5060 Acc: 92.31%
Step 37100 | Loss: 0.5445 Acc: 89.73%
Step 37200 | Loss: 0.4892 Acc: 91.39%
Step 37300 | Loss: 0.4947 Acc: 92.55%
Step 37400 | Loss: 0.4969 Acc: 91.49%
Step 37500 | Loss: 0.4989 Acc: 92.11%
Step 37600 | Loss: 0.4973 Acc: 93.06%
Step 37700 | Loss: 0.5082 Acc: 91.95%
Step 37800 | Loss: 0.4866 Acc: 93.36%
Step 37900 | Loss: 0.4836 Acc: 93.43%
Step 38000 | Loss: 0.5037 Acc: 92.44%
Step 38100 | Loss: 0.5133 Acc: 89.74%
Step 38200 | Loss: 0.5197 Acc: 91.16%
Step 38300 | Loss: 0.4730 Acc: 93.41%
Step 38400 | Loss: 0.4785 Acc: 94.13%
Step 38500 | Loss: 0.4766 Acc: 93.69%
Step 38600 | Loss: 0.5071 Acc: 91.88%
Step 38700 | Loss: 0.4637 Acc: 92.94%
Step 38800 | Loss: 0.4545 Acc: 94.35%
Step 38900 | Loss: 0.4690 Acc: 93.08%
Step 39000 | Loss: 0.4819 Acc: 93.92%
Step 39100 | Loss: 0.4780 Acc: 92.66%
Step 39200 | Loss: 0.5057 Acc: 91.84%
Step 39300 | Loss: 0.4587 Acc: 93.87%
Step 39400 | Loss: 0.4996 Acc: 92.97%
Step 39500 | Loss: 0.5515 Acc: 90.07%
Step 39600 | Loss: 0.5069 Acc: 92.43%
Step 39700 | Loss: 0.4715 Acc: 92.77%
Step 39800 | Loss: 0.5070 Acc: 92.67%
Step 39900 | Loss: 0.4771 Acc: 93.50%

============================================================
Step 40000: Entering Phase 3: Up to Medium-Hard (0.0-3.0)
Training pool: 2676174 puzzles
============================================================

Step 40000 | Loss: 0.5118 Acc: 91.59% | 0.0: 486/500 | 1.x: 357/500 | 2.x: 269/500 | 3.x: 175/500 | 4.x+: 120/500 | Total: 1407/2500
Step 40100 | Loss: 0.5220 Acc: 90.77%
Step 40200 | Loss: 0.5826 Acc: 88.32%
Step 40300 | Loss: 0.5161 Acc: 91.53%
Step 40400 | Loss: 0.5739 Acc: 88.46%
Step 40500 | Loss: 0.5424 Acc: 90.63%
Step 40600 | Loss: 0.5377 Acc: 90.41%
Step 40700 | Loss: 0.5287 Acc: 90.39%
Step 40800 | Loss: 0.5316 Acc: 90.11%
Step 40900 | Loss: 0.5276 Acc: 90.66%
Step 41000 | Loss: 0.5015 Acc: 91.42%
Step 41100 | Loss: 0.5134 Acc: 91.47%
Step 41200 | Loss: 0.5096 Acc: 91.20%
Step 41300 | Loss: 0.5195 Acc: 90.92%
Step 41400 | Loss: 0.5162 Acc: 91.57%
Step 41500 | Loss: 0.5610 Acc: 89.74%
Step 41600 | Loss: 0.5522 Acc: 89.23%
Step 41700 | Loss: 0.5216 Acc: 91.53%
Step 41800 | Loss: 0.5239 Acc: 90.61%
Step 41900 | Loss: 0.5173 Acc: 90.93%
Step 42000 | Loss: 0.6235 Acc: 86.60%
Step 42100 | Loss: 0.5276 Acc: 90.48%
Step 42200 | Loss: 0.5195 Acc: 90.46%
Step 42300 | Loss: 0.5229 Acc: 91.42%
Step 42400 | Loss: 0.5251 Acc: 91.22%
Step 42500 | Loss: 0.5177 Acc: 90.76%
Step 42600 | Loss: 0.4817 Acc: 92.31%
Step 42700 | Loss: 0.4828 Acc: 92.76%
Step 42800 | Loss: 0.5642 Acc: 88.88%
Step 42900 | Loss: 0.5385 Acc: 89.64%
Step 43000 | Loss: 0.5094 Acc: 91.45%
Step 43100 | Loss: 0.5131 Acc: 90.91%
Step 43200 | Loss: 0.5503 Acc: 89.17%
Step 43300 | Loss: 0.5240 Acc: 90.87%
Step 43400 | Loss: 0.5081 Acc: 92.24%
Step 43500 | Loss: 0.5022 Acc: 91.57%
Step 43600 | Loss: 0.4960 Acc: 92.11%
Step 43700 | Loss: 0.6154 Acc: 86.85%
Step 43800 | Loss: 0.5372 Acc: 90.15%
Step 43900 | Loss: 0.5081 Acc: 91.62%
Step 44000 | Loss: 0.5116 Acc: 90.49%
Step 44100 | Loss: 0.5170 Acc: 90.76%
Step 44200 | Loss: 0.4789 Acc: 92.57%
Step 44300 | Loss: 0.5168 Acc: 90.85%
Step 44400 | Loss: 0.4957 Acc: 92.11%
Step 44500 | Loss: 0.4957 Acc: 91.57%
Step 44600 | Loss: 0.5307 Acc: 90.36%
Step 44700 | Loss: 0.5049 Acc: 91.82%
Step 44800 | Loss: 0.5452 Acc: 89.34%
Step 44900 | Loss: 0.5296 Acc: 91.03%
Step 45000 | Loss: 0.5724 Acc: 89.78% | 0.0: 473/500 | 1.x: 354/500 | 2.x: 274/500 | 3.x: 209/500 | 4.x+: 130/500 | Total: 1440/2500
Step 45100 | Loss: 0.5261 Acc: 90.88%
Step 45200 | Loss: 0.5334 Acc: 89.48%
Step 45300 | Loss: 0.5677 Acc: 89.13%
Step 45400 | Loss: 0.5581 Acc: 89.03%
Step 45500 | Loss: 0.5014 Acc: 91.82%
Step 45600 | Loss: 0.5218 Acc: 90.42%
Step 45700 | Loss: 0.5734 Acc: 88.47%
Step 45800 | Loss: 0.5261 Acc: 90.55%
Step 45900 | Loss: 0.5419 Acc: 90.08%
Step 46000 | Loss: 0.5127 Acc: 91.50%
Step 46100 | Loss: 0.5027 Acc: 91.77%
Step 46200 | Loss: 0.4899 Acc: 92.18%
Step 46300 | Loss: 0.5731 Acc: 89.52%
Step 46400 | Loss: 0.4743 Acc: 92.96%
Step 46500 | Loss: 0.5338 Acc: 91.27%
Step 46600 | Loss: 0.5413 Acc: 90.39%
Step 46700 | Loss: 0.5438 Acc: 89.96%
Step 46800 | Loss: 0.5082 Acc: 90.75%
Step 46900 | Loss: 0.5606 Acc: 89.89%
Step 47000 | Loss: 0.5509 Acc: 89.73%
Step 47100 | Loss: 0.4859 Acc: 92.30%
Step 47200 | Loss: 0.5154 Acc: 90.57%
Step 47300 | Loss: 0.5096 Acc: 91.31%
Step 47400 | Loss: 0.5046 Acc: 91.16%
Step 47500 | Loss: 0.5029 Acc: 91.35%
Step 47600 | Loss: 0.5175 Acc: 91.64%
Step 47700 | Loss: 0.5045 Acc: 91.32%
