
============================================================
Step 0: Entering Phase 1: Hard only (rating 21+)
Training pool: 281294 puzzles
============================================================

Step 38000 | Loss: 0.7430 Acc: 76.53%
Step 38100 | Loss: 0.7424 Acc: 77.48%
Step 38200 | Loss: 0.7191 Acc: 77.82%
Step 38300 | Loss: 0.7494 Acc: 77.26%
Step 38400 | Loss: 0.7305 Acc: 77.13%
Step 38500 | Loss: 0.7577 Acc: 75.41%
Step 38600 | Loss: 0.7253 Acc: 77.61%
Step 38700 | Loss: 0.7463 Acc: 76.63%
Step 38800 | Loss: 0.7250 Acc: 77.89%
Step 38900 | Loss: 0.7280 Acc: 77.44%
Step 39000 | Loss: 0.7491 Acc: 76.90%
Step 39100 | Loss: 0.7760 Acc: 73.92%
Step 39200 | Loss: 0.7632 Acc: 75.23%
Step 39300 | Loss: 0.7449 Acc: 75.59%
Step 39400 | Loss: 0.7331 Acc: 77.07%
Step 39500 | Loss: 0.7414 Acc: 77.25%
Step 39600 | Loss: 0.7357 Acc: 76.68%
Step 39700 | Loss: 0.7638 Acc: 74.97%
Step 39800 | Loss: 0.7230 Acc: 77.81%
Step 39900 | Loss: 0.7176 Acc: 78.15%
Step 40000 | Loss: 0.7559 Acc: 75.23% | 0: 4881/5000 | 1-2: 3868/5000 | 3-10: 2562/5000 | 11-50: 2773/5000 | 51+: 3191/5000 | Total: 17275/25000 (69.1%)
Step 40100 | Loss: 0.7189 Acc: 77.79%
Step 40200 | Loss: 0.7448 Acc: 76.71%
Step 40300 | Loss: 0.7268 Acc: 77.89%
Step 40400 | Loss: 0.7414 Acc: 76.19%
Step 40500 | Loss: 0.7326 Acc: 77.59%
Step 40600 | Loss: 0.7138 Acc: 77.95%
Step 40700 | Loss: 0.7488 Acc: 76.71%
Step 40800 | Loss: 0.7237 Acc: 77.54%
Step 40900 | Loss: 0.7216 Acc: 78.03%
Step 41000 | Loss: 0.7610 Acc: 75.68%
Step 41100 | Loss: 0.7231 Acc: 77.44%
Step 41200 | Loss: 0.7219 Acc: 78.02%
Step 41300 | Loss: 0.7240 Acc: 76.90%
Step 41400 | Loss: 0.7188 Acc: 76.90%
Step 41500 | Loss: 0.7212 Acc: 77.53%
Step 41600 | Loss: 0.7179 Acc: 77.93%
Step 41700 | Loss: 0.7536 Acc: 75.38%
Step 41800 | Loss: 0.7397 Acc: 76.37%
Step 41900 | Loss: 0.7115 Acc: 77.94%

============================================================
Step 42000: Entering Phase 4: All (rating 0+)
Training pool: 2700000 puzzles
============================================================

Step 42000 | Loss: 0.7197 Acc: 78.66%
Step 42100 | Loss: 0.6724 Acc: 81.25%
Step 42200 | Loss: 0.6663 Acc: 81.13%
Step 42300 | Loss: 0.6691 Acc: 80.51%
Step 42400 | Loss: 0.6571 Acc: 81.90%
Step 42500 | Loss: 0.6552 Acc: 80.99%
Step 42600 | Loss: 0.6420 Acc: 81.34%
Step 42700 | Loss: 0.6806 Acc: 79.27%
Step 42800 | Loss: 0.6808 Acc: 79.23%
Step 42900 | Loss: 0.6860 Acc: 78.70%
Step 43000 | Loss: 0.6684 Acc: 80.16%
Step 43100 | Loss: 0.6945 Acc: 79.05%
Step 43200 | Loss: 0.7018 Acc: 78.24%
Step 43300 | Loss: 0.6630 Acc: 80.19%
Step 43400 | Loss: 0.6886 Acc: 78.93%
Step 43500 | Loss: 0.6892 Acc: 78.95%
Step 43600 | Loss: 0.6453 Acc: 81.92%
Step 43700 | Loss: 0.6798 Acc: 79.91%
Step 43800 | Loss: 0.6632 Acc: 80.95%
Step 43900 | Loss: 0.6852 Acc: 78.48%
Step 44000 | Loss: 0.6595 Acc: 81.17%
Step 44100 | Loss: 0.6633 Acc: 81.31%
Step 44200 | Loss: 0.6673 Acc: 79.54%
Step 44300 | Loss: 0.6913 Acc: 78.52%
Step 44400 | Loss: 0.6728 Acc: 80.21%
Step 44500 | Loss: 0.6874 Acc: 79.38%
Step 44600 | Loss: 0.6819 Acc: 79.01%
Step 44700 | Loss: 0.6615 Acc: 81.26%
Step 44800 | Loss: 0.6388 Acc: 81.56%
Step 44900 | Loss: 0.6320 Acc: 82.27%
Step 45000 | Loss: 0.6938 Acc: 79.06% | 0: 4890/5000 | 1-2: 3817/5000 | 3-10: 2532/5000 | 11-50: 2742/5000 | 51+: 3100/5000 | Total: 17081/25000 (68.3%)
Step 45100 | Loss: 0.6387 Acc: 81.81%
Step 45200 | Loss: 0.6861 Acc: 78.73%
Step 45300 | Loss: 0.6459 Acc: 82.54%
Step 45400 | Loss: 0.6569 Acc: 80.41%
Step 45500 | Loss: 0.6591 Acc: 80.62%
Step 45600 | Loss: 0.6540 Acc: 82.07%
Step 45700 | Loss: 0.6866 Acc: 78.65%
Step 45800 | Loss: 0.6800 Acc: 79.37%
Step 45900 | Loss: 0.6999 Acc: 78.33%
Step 46000 | Loss: 0.6489 Acc: 82.07%
Step 46100 | Loss: 0.6476 Acc: 81.39%
Step 46200 | Loss: 0.6695 Acc: 80.16%
Step 46300 | Loss: 0.6792 Acc: 79.82%
Step 46400 | Loss: 0.6311 Acc: 82.18%
Step 46500 | Loss: 0.6555 Acc: 80.20%
Step 46600 | Loss: 0.6695 Acc: 79.72%
Step 46700 | Loss: 0.6613 Acc: 81.08%
Step 46800 | Loss: 0.6501 Acc: 81.35%
Step 46900 | Loss: 0.6463 Acc: 81.46%
Step 47000 | Loss: 0.6613 Acc: 80.29%
Step 47100 | Loss: 0.6849 Acc: 79.74%
