
============================================================
Step 0: Entering Phase 1: Hard only (3.0+)
Training pool: 321326 puzzles
============================================================

Step 40200 | Loss: 0.5714 Acc: 86.89%
Step 40300 | Loss: 0.5633 Acc: 87.69%
Step 40400 | Loss: 0.5347 Acc: 89.65%
Step 40500 | Loss: 0.5090 Acc: 90.77%
Step 40600 | Loss: 0.5457 Acc: 88.82%
Step 40700 | Loss: 0.5536 Acc: 88.41%
Step 40800 | Loss: 0.5342 Acc: 89.16%
Step 40900 | Loss: 0.5358 Acc: 89.03%
Step 41000 | Loss: 0.5668 Acc: 87.63%
Step 41100 | Loss: 0.5598 Acc: 88.50%
Step 41200 | Loss: 0.5417 Acc: 88.77%
Step 41300 | Loss: 0.5421 Acc: 89.43%
Step 41400 | Loss: 0.5391 Acc: 89.15%
Step 41500 | Loss: 0.5482 Acc: 88.67%
Step 41600 | Loss: 0.5462 Acc: 88.11%
Step 41700 | Loss: 0.5607 Acc: 88.01%
Step 41800 | Loss: 0.5282 Acc: 89.10%
Step 41900 | Loss: 0.5605 Acc: 88.53%
Step 42000 | Loss: 0.5508 Acc: 88.93%
Step 42100 | Loss: 0.5338 Acc: 89.39%
Step 42200 | Loss: 0.5579 Acc: 88.35%
Step 42300 | Loss: 0.5549 Acc: 88.66%
Step 42400 | Loss: 0.5429 Acc: 89.16%
Step 42500 | Loss: 0.5386 Acc: 89.16%
Step 42600 | Loss: 0.5726 Acc: 88.22%
Step 42700 | Loss: 0.5202 Acc: 90.04%
Step 42800 | Loss: 0.5351 Acc: 89.67%
Step 42900 | Loss: 0.5382 Acc: 88.97%
Step 43000 | Loss: 0.5478 Acc: 88.85%
Step 43100 | Loss: 0.5306 Acc: 88.80%
Step 43200 | Loss: 0.5324 Acc: 88.96%
Step 43300 | Loss: 0.5549 Acc: 88.36%
Step 43400 | Loss: 0.5458 Acc: 88.95%
Step 43500 | Loss: 0.5482 Acc: 89.27%
Step 43600 | Loss: 0.5264 Acc: 89.75%
Step 43700 | Loss: 0.5429 Acc: 88.69%
Step 43800 | Loss: 0.5395 Acc: 88.76%
Step 43900 | Loss: 0.5498 Acc: 88.11%
Step 44000 | Loss: 0.5501 Acc: 89.08%
Step 44100 | Loss: 0.5148 Acc: 90.52%
Step 44200 | Loss: 0.5347 Acc: 89.54%
Step 44300 | Loss: 0.5678 Acc: 87.28%
Step 44400 | Loss: 0.5190 Acc: 89.78%
Step 44500 | Loss: 0.5368 Acc: 89.32%
Step 44600 | Loss: 0.5411 Acc: 89.27%
Step 44700 | Loss: 0.5373 Acc: 89.52%
Step 44800 | Loss: 0.5457 Acc: 89.29%
Step 44900 | Loss: 0.5642 Acc: 87.59%
Step 45000 | Loss: 0.5415 Acc: 88.80% | 0.0: 498/500 | 1.x: 438/500 | 2.x: 373/500 | 3.x: 334/500 | 4.x+: 283/500 | Total: 1926/2500
Step 45100 | Loss: 0.5301 Acc: 89.48%
Step 45200 | Loss: 0.5572 Acc: 87.99%
Step 45300 | Loss: 0.5655 Acc: 87.89%
Step 45400 | Loss: 0.5425 Acc: 88.23%
Step 45500 | Loss: 0.5504 Acc: 88.00%
Step 45600 | Loss: 0.5926 Acc: 86.42%
Step 45700 | Loss: 0.5456 Acc: 89.08%
Step 45800 | Loss: 0.5171 Acc: 90.48%
Step 45900 | Loss: 0.5356 Acc: 88.88%
Step 46000 | Loss: 0.5029 Acc: 91.17%
Step 46100 | Loss: 0.5363 Acc: 89.60%
Step 46200 | Loss: 0.5688 Acc: 87.72%
Step 46300 | Loss: 0.5162 Acc: 91.25%
Step 46400 | Loss: 0.5391 Acc: 88.99%
Step 46500 | Loss: 0.5468 Acc: 87.79%
Step 46600 | Loss: 0.5405 Acc: 88.75%
Step 46700 | Loss: 0.5547 Acc: 88.28%
Step 46800 | Loss: 0.5675 Acc: 87.39%
Step 46900 | Loss: 0.5658 Acc: 87.72%
Step 47000 | Loss: 0.5416 Acc: 88.47%
Step 47100 | Loss: 0.5476 Acc: 88.79%
Step 47200 | Loss: 0.5515 Acc: 88.86%
Step 47300 | Loss: 0.5745 Acc: 87.28%
Step 47400 | Loss: 0.5574 Acc: 88.31%
Step 47500 | Loss: 0.5457 Acc: 88.57%
Step 47600 | Loss: 0.5324 Acc: 89.09%
Step 47700 | Loss: 0.5444 Acc: 89.02%
Step 47800 | Loss: 0.5390 Acc: 88.66%
